[26-Jan-2016 01:17:20] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:22] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:17:22] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:17:22] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:22] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:38] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:17:38] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:17:38] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:38] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:39] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:17:39] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:17:39] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:39] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:39] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:17:39] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:17:39] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:39] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:39] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:17:39] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:17:39] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:39] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
